類別	名稱	地址	縣市	鄉鎮	經度	緯度
家樂福超市	內湖康樂店	114 台北市內湖區康樂街150號	台北市	內湖區	121.619228	25.072577
家樂福超市	文山木新店	116 台北市文山區木新路二段158-1號	台北市	文山區	121.568877	24.984137
家樂福超市	文山景隆店	116 台北市文山區景隆街36巷2號	台北市	文山區	121.543531	24.998611
家樂福超市	文山萬慶店	116 台北市文山區萬慶街27號	台北市	文山區	121.539372	24.992448
家樂福超市	北投公館店	112 台北市北投區公館路198號	台北市	北投區	121.50736	25.127728
家樂福超市	北投光明店	112 台北市北投區光明路220號1F	台北市	北投區	121.50451	25.136237
家樂福超市	北投致遠一店	112 台北市北投區致遠一路二段19號、21號、23號	台北市	北投區	121.514166	25.111157
家樂福超市	台中建成店	402 台中市南區建成路1025-1031號	台中市	南區	120.684025	24.128821
家樂福超市	台北八德店	105 台北市松山區八德路四段83號	台北市	松山區	121.560436	25.048607
家樂福超市	台北大理店	108 台北市萬華區大理街114號1樓	台北市	萬華區	121.497522	25.034158
家樂福超市	台北中坡南店	115 台北市南港區中坡南路3號	台北市	南港區	121.582314	25.044263
家樂福超市	台北仁愛二店	106 台北市大安區仁愛路四段388號B1	台北市	大安區	121.556856	25.037351
家樂福超市	台北仁愛店	106 台北市大安區仁愛路四段50-99,50-100號B1	台北市	大安區	121.547274	25.037586
家樂福超市	台北太原店	103 台北市大同區太原路155、157號	台北市	大同區	121.516772	25.05533
家樂福超市	台北木柵店	116 台北市文山區木柵路四段153號	台北市	文山區	121.574912	24.998866
家樂福超市	台北北安店	104 台北市中山區北安路595巷11-13號	台北市	中山區	121.547957	25.082395
家樂福超市	台北四維店	106 台北市大安區四維路198巷35號	台北市	大安區	121.547198	25.026796
家樂福超市	台北光復店	105 台北市松山區光復北路198號	台北市	松山區	121.555518	25.054983
家樂福超市	台北同安店	100 台北市中正區同安街71號	台北市	中正區	121.521452	25.023328
家樂福超市	台北西藏店	108 台北市萬華區西藏路125巷13-15號	台北市	萬華區	121.502254	25.029392
家樂福超市	台北延吉店	106 台北市大安區延吉街250號B1	台北市	大安區	121.555992	25.034887
家樂福超市	台北延壽店	105 台北市松山區延壽街91號、93號	台北市	松山區	121.566686	25.057201
家樂福超市	台北忠孝東二店	106 台北市大安區忠孝東路三段218號B1	台北市	大安區	121.540335	25.041404
家樂福超市	台北忠孝東店	106 台北市大安區忠孝東路四段71號B1	台北市	大安區	121.546878	25.041899
家樂福超市	台北松仁店	110 台北市信義區松仁路271號B1	台北市	信義區	121.569482	25.025052
家樂福超市	台北松德店	110 台北市信義區松德路99號B1	台北市	信義區	121.575945	25.037891
家樂福超市	台北林森北店	104 台北市中山區林森北路413號B1	台北市	中山區	121.525738	25.059887
家樂福超市	台北長安東店	104 台北市中山區長安東路二段63、63-1、63-2號	台北市	中山區	121.533647	25.048589
家樂福超市	台北長沙店	108 台北市萬華區長沙街二段93號B1	台北市	萬華區	121.50453	25.040737
家樂福超市	台北信義店	106 台北市大安區信義路四段296號B1	台北市	大安區	121.554543	25.033017
家樂福超市	台北重慶北店	103 台北市大同區重慶北路一段73號B1	台北市	大同區	121.514253	25.052276
家樂福超市	台北師大店	106 台北市大安區師大路129號1樓	台北市	大安區	121.528247	25.0217
家樂福超市	台北酒泉店	103 台北市大同區酒泉街105號	台北市	大同區	121.515256	25.072073
家樂福超市	台北新生南店	106 台北市大安區新生南路三段2號B1	台北市	大安區	121.534531	25.025746
家樂福超市	台北萬大店	108 台北市萬華區萬大路486巷48號1樓	台北市	萬華區	121.495864	25.020751
家樂福超市	台北農安二店	104 台北市中山區農安街26號、26-1號	台北市	中山區	121.5259	25.064787
家樂福超市	台北農安店	104 台北市中山區農安街257、259號	台北市	中山區	121.535484	25.064859
家樂福超市	台北羅斯福店	106 台北市大安區羅斯福路三段285號B1	台北市	大安區	121.531479	25.017856
家樂福超市	平鎮上海店	324 桃園市平鎮區上海路205號, 南安路130號及132號	桃園市	平鎮區	121.206296	24.914763
家樂福超市	平鎮文化店	324 桃園市平鎮區文化街102號	桃園市	平鎮區	121.20352	24.954067
家樂福超市	平鎮廣明店	324 桃園市平鎮區廣明路1號	桃園市	平鎮區	121.214498	24.952318
家樂福超市	永和中正店	234 新北市永和區中正路704號	新北市	永和區	121.516445	25.009915
家樂福超市	永和仁愛店	234 新北市永和區仁愛路152號B1	新北市	永和區	121.510632	25.013108
家樂福超市	永和竹林店	234 新北市永和區竹林路60號	新北市	永和區	121.518092	25.013768
家樂福超市	汐止大同店	221 新北市汐止區大同路二段285號B1	新北市	汐止區	121.653834	25.066007
家樂福超市	汐止明峰店	221 新北市汐止區明峰街117號B1	新北市	汐止區	121.631162	25.07096
家樂福超市	汐止建成店	221 新北市汐止區建成路39號	新北市	汐止區	121.661011	25.071811
家樂福超市	汐止福德一店	221 新北市汐止區福德一路256號	新北市	汐止區	121.633483	25.064731
家樂福超市	汐止樟樹一店	221 新北市汐止區樟樹一路176號1樓及174號地下室	新北市	汐止區	121.642396	25.065846
家樂福超市	竹北中正東店	302 新竹縣竹北市中正東路71號	新竹縣	竹北市	121.01792	24.834967
