類別	名稱	地址
OKmart	OK中壢文化店	桃園市中壢區文化路336號1樓
OKmart	OK中壢仁勛店	桃園市中壢區華勛街349+351號1樓
OKmart	OK中壢榮安店	桃園市中壢區環中東路50號
OKmart	OK中壢精忠店	桃園市中壢區莊敬路779號
OKmart	OK中壢月眉店	桃園市中壢區月眉路１段599號1樓
OKmart	OK中壢元化店	桃園市中壢區元化路２段31、33號1樓
OKmart	OK中壢七福店	桃園市中壢區龍東路474、476號1樓
OKmart	OK中壢長興店	桃園市中壢區長興街21、23號
OKmart	OK中壢中園店	桃園市中壢區中園路38之1號
OKmart	OK中壢鎵興門市	桃園市中壢區中華路１段784號一樓
OKmart	OK中壢志清門市	桃園市中壢區中山東路３段414號志清樓一樓
OKmart	OK中壢運動門市	桃園市中壢區三光路350號
OKmart	OK中壢正義店	桃園市中壢區正義路88號1樓
OKmart	OK三重成功店	新北市三重區成功路97號
OKmart	OK三重中北店	新北市三重區中正北路147號
OKmart	OK三重中正南店	新北市三重區中正南路117號
OKmart	OK三重醫院門市	新北市三重區新北大道１段3號前棟2樓
OKmart	OK員樹林店	桃園市大溪區員林路2段409、411號1樓
