類別	名稱	地址	經度	緯度
屈臣氏	漢中	台北市萬華區漢中街131號	121.507535	25.041914
屈臣氏	下營	台南市下營區中山路一段66號	120.262462	23.235072
屈臣氏	公園	台南市中西區公園路32號	120.20563	22.994505
屈臣氏	友愛	台南市中西區國華街二段159號	120.197088	22.991974
屈臣氏	南青	台南市中西區青年路148號	120.209556	22.99174
屈臣氏	南民	台南市中西區民族路三段287號	120.192389	22.999999
屈臣氏	赤崁	台南市中西區成功路211號	120.204675	22.998429
屈臣氏	仁德	台南市仁德區中正路三段12號	120.252814	22.974052
屈臣氏	嘉南	台南市仁德區二仁路一段165號	120.222746	22.925142
屈臣氏	佳里	台南市佳里區義民街219號	120.175593	23.161319
屈臣氏	六甲	台南市六甲區中山路2號	120.351386	23.230753
屈臣氏	開元	台南市北區開元路517號	120.225451	23.011119
屈臣氏	金華	台南市南區金華路二段87號	120.191143	22.979534
屈臣氏	南西門	台南市南區西門路一段665號	120.197459	22.98648
屈臣氏	善化	台南市善化區中正路440號	120.294001	23.130647
屈臣氏	學甲	台南市學甲區濟生路142號	120.180771	23.23295
屈臣氏	海佃	台南市安南區海佃路一段162號	120.191772	23.024319
屈臣氏	本淵	台南市安南區安中路三段416號	120.174094	23.049947
屈臣氏	和順	台南市安南區安和路四段502號	120.218844	23.061016
屈臣氏	安中	台南市安南區安中路一段799號	120.193242	23.044161
屈臣氏	永華	台南市安平區永華路二段815號	120.168827	22.991147
屈臣氏	華平	台南市安平區慶平路289號	120.177229	22.996782
屈臣氏	新化	台南市新化區信義路213-1號	120.308712	23.03493
屈臣氏	新市	台南市新市區仁愛街318號	120.29378	23.076996
屈臣氏	新營	台南市新營區延平路2號	120.313562	23.302239
屈臣氏	成功	台南市東區長榮路二段171號	120.221395	22.991909
屈臣氏	崇市	台南市東區崇德路367號	120.223943	22.976743
屈臣氏	光明	台南市東區光明街14號	120.228167	22.999363
屈臣氏	崇義	台南市東區崇德路646號	120.227331	22.96995
屈臣氏	崇義	台南市東區崇德路646號	120.227331	22.96995
屈臣氏	新北門	台南市東區北門路一段294號	120.212133	22.995785
屈臣氏	勝利	台南市東區勝利路157號	120.217986	22.995544
屈臣氏	大同	台南市東區大同路二段57號	120.212952	22.979728
屈臣氏	裕農	台南市東區裕農路77號	120.224769	22.985928
屈臣氏	歸仁	台南市歸仁區中山路一段579號	120.296084	22.966538
屈臣氏	永康	台南市永康區中正路988號	120.23807	23.04073
屈臣氏	永康2	台南市永康區中華路201號	120.235082	23.004759
屈臣氏	大灣	台南市永康區大灣路273號	120.267389	23.006359
屈臣氏	崑山	台南市永康區大灣路915號	120.254295	22.999205
屈臣氏	復華	台南市永康區復國一路317號	120.246446	23.010328
屈臣氏	中山南	台南市永康區中山南路237號	120.236151	23.015745
屈臣氏	中山北	台南市永康區中山北路31號	120.259415	23.026939
屈臣氏	康華	台南市永康區中華路409號	120.230806	23.009724
屈臣氏	白河	台南市白河區中山路32-2號	120.414681	23.348307
屈臣氏	關廟	台南市關廟區中山路一段640號	120.327867	22.959879
屈臣氏	鹽水	台南市鹽水區朝琴路41號	120.268599	23.321175
屈臣氏	麻豆	台南市麻豆區興中路96號	120.250946	23.183584
屈臣氏	台東	台東縣台東市正氣路171號	121.151905	22.752313
屈臣氏	東欣	台東縣台東市新生路195號	121.144629	22.755537
屈臣氏	台東二	台東縣成功鎮中華路63號	121.377686	23.100283
屈臣氏	嘉文	嘉義市東區文化路116號	120.449968	23.477356
屈臣氏	吳鳳南	嘉義市東區吳鳳南路300號	120.454706	23.466071
屈臣氏	嘉新	嘉義市東區新生路798號	120.455199	23.495713
屈臣氏	嘉樂	嘉義市西區博愛路二段461號	120.43119	23.471311
屈臣氏	嘉義2	嘉義市西區中山路379號	120.447953	23.479743
屈臣氏	興業	嘉義市西區仁愛路300號	120.442742	23.471274
屈臣氏	嘉民	嘉義市西區民族路455號	120.448877	23.475877
屈臣氏	興業西	嘉義市西區興業西路328號	120.438244	23.46783
屈臣氏	大林	嘉義縣大林鎮中正路429號	120.454007	23.602814
屈臣氏	太保	嘉義縣太保市中山路一段293號	120.378228	23.498247
屈臣氏	朴子	嘉義縣朴子市八德路10號	120.242725	23.463576
屈臣氏	民雄	嘉義縣民雄鄉昇平路1-1號	120.429787	23.556509
屈臣氏	頭橋	嘉義縣民雄鄉建國路三段136號	120.437268	23.522822
屈臣氏	水上	嘉義縣水上鄉中興路388號	120.400407	23.431051
屈臣氏	七堵	基隆市七堵區明德一路188號	121.71303	25.097453
屈臣氏	百福	基隆市七堵區百三街83號	121.694695	25.081939
屈臣氏	海洋	基隆市中正區中正路802號	121.771392	25.151189
屈臣氏	基隆	基隆市仁愛區忠一路8號	121.740526	25.13089
屈臣氏	廟口	基隆市仁愛區愛四路76號	121.744648	25.129554
屈臣氏	仁三	基隆市仁愛區仁三路68號	121.74267	25.128871
屈臣氏	深溪	基隆市信義區深溪路192號	121.782909	25.134944
屈臣氏	安樂	基隆市安樂區安樂路二段159號	121.723488	25.120703
屈臣氏	大武崙	基隆市安樂區基金一路172-1號	121.711277	25.140837
屈臣氏	安一	基隆市安樂區安一路115號	121.734435	25.131727
屈臣氏	樂利	基隆市安樂區樂利三街100號	121.714593	25.126446
屈臣氏	暖暖	基隆市暖暖區暖暖街181號	121.735901	25.099273
屈臣氏	宜蘭	宜蘭縣宜蘭市中山路三段23號	121.752103	24.755864
屈臣氏	城東	宜蘭縣宜蘭市舊城東路28-3號	121.756279	24.756845
屈臣氏	神農	宜蘭縣宜蘭市神農路一段79號	121.750023	24.748796
屈臣氏	蘭城新	宜蘭縣宜蘭市民權路二段38巷6號	121.750711	24.754852
屈臣氏	礁溪	宜蘭縣礁溪鄉德陽路12號	121.772593	24.828235
屈臣氏	羅東	宜蘭縣羅東鎮興東路6號	121.767875	24.67581
屈臣氏	羅民	宜蘭縣羅東鎮民生路30號	121.769907	24.676989
屈臣氏	羅站	宜蘭縣羅東鎮公正路66號	121.772708	24.678178
屈臣氏	蘇澳	宜蘭縣蘇澳鎮中山路一段78號	121.836456	24.596431
屈臣氏	頭城	宜蘭縣頭城鎮青雲路三段165號	121.824972	24.857309
屈臣氏	內埔	屏東縣內埔鄉廣濟路179號	120.566504	22.612917
屈臣氏	屏東	屏東縣屏東市民生路301-1號	120.491215	22.670219
屈臣氏	廣東	屏東縣屏東市廣東路615號	120.497023	22.684549
屈臣氏	屏師	屏東縣屏東市林森路23-3號	120.498068	22.671157
屈臣氏	屏東4	屏東縣屏東市中山路65號	120.484734	22.676393
屈臣氏	屏生	屏東縣屏東市民生路43號	120.506952	22.662192
屈臣氏	墾丁	屏東縣恆春鎮墾丁路212號	120.797621	21.945672
屈臣氏	恆春	屏東縣恆春鎮中正路75號	120.744404	22.003218
屈臣氏	東港	屏東縣東港鎮中山路59號	120.450616	22.466381
屈臣氏	枋寮	屏東縣枋寮鄉中山路156號	120.594206	22.367353
屈臣氏	潮州	屏東縣潮州鎮新生路54號	120.538407	22.548652
屈臣氏	潮州2	屏東縣潮州鎮延平路98號	120.54049	22.553916
屈臣氏	萬丹	屏東縣萬丹鄉萬丹路一段176號	120.489503	22.586075
屈臣氏	里港	屏東縣里港鄉中山路49號	120.494445	22.77683
屈臣氏	高樹	屏東縣高樹鄉南興路110號	120.601744	22.823331
屈臣氏	鹽埔	屏東縣鹽埔鄉維新路109-2號	120.556659	22.740442
屈臣氏	二林	彰化縣二林鎮中山路110號	120.367602	23.89997
屈臣氏	北斗	彰化縣北斗鎮中華路261號	120.522118	23.872931
屈臣氏	和美	彰化縣和美鎮中山路163號	120.498072	24.112232
屈臣氏	員二	彰化縣員林市民權街6號	120.571589	23.95953
屈臣氏	員中	彰化縣員林市中正路197號	120.574843	23.953576
屈臣氏	靜修	彰化縣員林市靜修路52-19號	120.564879	23.96228
屈臣氏	彰化	彰化縣彰化市和平路15號	120.540197	24.079019
屈臣氏	彰化三	彰化縣彰化市三民路265號	120.543762	24.085956
屈臣氏	旭光	彰化縣彰化市旭光路255號	120.545007	24.070888
屈臣氏	彰南	彰化縣彰化市彰南路一段417號	120.576162	24.085864
屈臣氏	彰民	彰化縣彰化市民族路273號	120.537086	24.072109
屈臣氏	大埔	彰化縣彰化市大埔路592號	120.540609	24.066573
屈臣氏	永靖	彰化縣永靖鄉瑚璉路187號	120.549356	23.925175
屈臣氏	溪湖	彰化縣溪湖鎮彰水路三段298號	120.480302	23.960191
屈臣氏	田中	彰化縣田中鎮中州路一段190號	120.586804	23.857993
屈臣氏	社頭	彰化縣社頭鄉社斗路一段205號	120.587928	23.897474
屈臣氏	花壇	彰化縣花壇鄉中正路176號	120.542914	24.026898
屈臣氏	鹿港	彰化縣鹿港鎮民族路99號	120.436128	24.055346
屈臣氏	三峽	新北市三峽區民生街119-2號	121.373633	24.935204
