類別	名稱	地址
星巴克	嘉義家樂福門市	嘉義市西區博愛路二段461號
星巴克	嘉義高鐵門市	嘉義縣太保市高鐵西路168號
星巴克	嘉朴門市	嘉義縣朴子市嘉朴路西段7號
星巴克	台南東山門市	台南市東山區枋子林74之6號
星巴克	新營門市	台南市新營區中正路6之5號
星巴克	台南善化門市	台南市善化區大同路2號
星巴克	善化陽光門市	台南市善化區陽光大道200號1樓
星巴克	台積電P3門市	台南市善化區南科北路1之1號(P3廠2F)
星巴克	台積電18門市	台南市安定區北園二路8號1F (台積電18廠)
星巴克	台南佳里門市	台南市佳里區新生東路1號
星巴克	南科門市	台南市新市區南科三路17號1樓
星巴克	台南新市門市	台南市新市區中正路71號
星巴克	台東新生門市	台東縣台東市新生路133號
星巴克	台東中華門市	台東縣台東市中華路二段385號
星巴克	澎湖喜來登門市	澎湖縣馬公市新店路197號1樓
星巴克	永康中正門市	台南市永康區中正南路652號
星巴克	台南北安門市	台南市安南區北安路三段156號
星巴克	南台科大門市	台南市永康區南台街一號
星巴克	台南大灣門市	台南市永康區崑大路231、233號
星巴克	永康門市	台南市永康區中華路157號
星巴克	旗山門市	高雄市旗山區延平一路676號
星巴克	台南海佃門市	台南市安南區海佃路一段381號
星巴克	台南小北門市	台南市北區西門路四段307號
星巴克	台南歸仁門市	台南市歸仁區中山路二段118號1F
星巴克	虎尾寮門市	台南市東區裕農路930號
星巴克	成大醫院B1門市	台南市北區勝利路138號B1
星巴克	成大醫院門市	台南市北區小東路35號
星巴克	南紡1F門市	台南市東區中華東路一段366號1F
星巴克	南紡門市	台南市東區中華東路一段366號2樓
星巴克	長榮門市	台南市東區長榮路三段139號
星巴克	成大會館門市	台南市東區勝利路118號1F
星巴克	南遠門市	台南市東區前鋒路210號
星巴克	台南門市	台南市中西區中山路166號1樓
星巴克	三越中山門市	台南市中西區中山路162號B1
星巴克	湖美門市	台南市中西區中華西路二段865號
星巴克	仁德家樂福門市	台南市仁德區中山路711號
星巴克	台南東門門市	台南市東區東門路三段138號
星巴克	府榮門市	台南市東區長榮路一段181號1樓
星巴克	台南西門門市	台南市中西區西門路二段120號
星巴克	府中門市	台南市中西區民生路二段489號
星巴克	台南健康門市	台南市中西區健康路一段36號
星巴克	永福門市	台南市南區西門路一段658號1樓
星巴克	台南德安門市	台南市東區中華東路三段360號1樓
星巴克	永華運動門市	台南市中西區中華西路二段30-2號1F
星巴克	永華門市	台南市安平區中華西路二段16號
星巴克	永華國平門市	台南市安平區永華路二段721號
星巴克	MITSUI台南門市	台南市歸仁區歸仁大道101號
星巴克	台南高鐵門市	台南市歸仁區歸仁大道100號
星巴克	奇美博物館門市	台南市仁德區文華路二段66號
星巴克	仁德北門市	台南市仁德區中洲村中洲1-16號
